vel / dir,E, ESE, SE, SSE, S, SSW, SW, WSW, W, WNW, NW, NNW, N, NNE, NE, ENE
0.0 - 2.7 m/s,0.270, 0.405, 0.135, 0.135, 0.135, 0.676, 1.892, 1.486, 1.486, 3.649, 1.081, 0.135, 3.514, 0.405, 0.000, 0.000
2.7 - 5.4 m/s,2.297, 2.162, 0.676, 0.405, 1.081, 0.135, 0.000, 0.000, 0.405, 1.622, 0.000, 0.135, 0.405, 0.676, 1.351, 0.946
5.4 - 8.2 m/s,5.946, 4.324, 2.838, 1.486, 0.811, 0.270, 0.541, 0.135, 0.405, 2.162, 3.243, 0.676, 0.000, 1.081, 1.622, 0.676
8.2 - 10.9 m/s,2.838, 1.757, 0.946, 1.081, 2.162, 1.081, 1.892, 0.811, 0.811, 4.459, 6.216, 1.622, 0.405, 0.811, 0.946, 0.135
10.9 - 13.6 m/s,0.811, 0.000, 0.405, 0.135, 1.486, 1.081, 2.027, 0.811, 1.351, 4.865, 3.784, 0.270, 0.270, 0.541, 0.135, 0.135
vmax (m/s),16.100,23.300,20.600,15.300,23.900,23.100,23.300,22.800,22.200,27.200,20.800,14.200,12.200,14.400,12.500,11.100
